Date,Close
7/1/2021 16:00:00,17.15
7/2/2021 16:00:00,17.6
7/5/2021 16:00:00,18
7/6/2021 16:00:00,18.17
7/7/2021 16:00:00,18
7/8/2021 16:00:00,18.07
7/9/2021 16:00:00,17.65
7/12/2021 16:00:00,17.5
7/13/2021 16:00:00,17.21
7/14/2021 16:00:00,17.07
7/15/2021 16:00:00,17.2
7/16/2021 16:00:00,17.48
7/19/2021 16:00:00,17.2
7/20/2021 16:00:00,17.25
7/21/2021 16:00:00,17.4
7/22/2021 16:00:00,17.18
7/23/2021 16:00:00,17.2
7/26/2021 16:00:00,17.14
7/27/2021 16:00:00,16.94
7/28/2021 16:00:00,16.8
7/29/2021 16:00:00,16.53
7/30/2021 16:00:00,16.38
8/2/2021 16:00:00,16.82
8/3/2021 16:00:00,16.9
8/4/2021 16:00:00,17
8/5/2021 16:00:00,16.88
8/6/2021 16:00:00,16.8
8/9/2021 16:00:00,16.89
8/10/2021 16:00:00,17
8/11/2021 16:00:00,16.91
8/12/2021 16:00:00,17.08
8/13/2021 16:00:00,17.19
8/16/2021 16:00:00,17.05
8/17/2021 16:00:00,16.7
8/18/2021 16:00:00,16.6
8/19/2021 16:00:00,16.93
8/20/2021 16:00:00,17.05
8/23/2021 16:00:00,16.96
8/24/2021 16:00:00,16.98
8/25/2021 16:00:00,17.01
8/26/2021 16:00:00,17.21
8/27/2021 16:00:00,16.87
8/30/2021 16:00:00,16.52
8/31/2021 16:00:00,16.53
9/1/2021 16:00:00,16.48
9/2/2021 16:00:00,16.25
9/3/2021 16:00:00,16.57
9/6/2021 16:00:00,16.23
9/7/2021 16:00:00,16.04
9/8/2021 16:00:00,15.65
9/9/2021 16:00:00,14.85
9/10/2021 16:00:00,15.07
9/13/2021 16:00:00,15.36
9/14/2021 16:00:00,15.77
9/15/2021 16:00:00,16.12
9/16/2021 16:00:00,16.4
9/17/2021 16:00:00,16.45
9/20/2021 16:00:00,16.22
9/21/2021 16:00:00,16.45
9/22/2021 16:00:00,16.38
9/23/2021 16:00:00,16.76
9/24/2021 16:00:00,16.79
9/27/2021 16:00:00,16.68
9/28/2021 16:00:00,16.5
9/29/2021 16:00:00,16.4
9/30/2021 16:00:00,16.47
10/1/2021 16:00:00,16.75
10/4/2021 16:00:00,16.45
10/5/2021 16:00:00,16.05
10/6/2021 16:00:00,15.81
10/7/2021 16:00:00,15.69
10/8/2021 16:00:00,15.73
10/11/2021 16:00:00,15.95
10/12/2021 16:00:00,15.27
10/13/2021 16:00:00,15.64
10/14/2021 16:00:00,15.41
10/15/2021 16:00:00,15.88
10/18/2021 16:00:00,15.96
10/19/2021 16:00:00,16.21
10/20/2021 16:00:00,16
10/21/2021 16:00:00,15.94
10/22/2021 16:00:00,16
10/25/2021 16:00:00,15.95
10/26/2021 16:00:00,15.74
10/27/2021 16:00:00,15.7
10/28/2021 16:00:00,15.5
10/29/2021 16:00:00,15.58
11/1/2021 16:00:00,15.34
11/2/2021 16:00:00,15.75
11/3/2021 16:00:00,15.53
11/4/2021 16:00:00,16.23
11/5/2021 16:00:00,15.7
11/8/2021 16:00:00,15.56
11/9/2021 16:00:00,16.37
11/10/2021 16:00:00,16
11/11/2021 16:00:00,15.9
11/12/2021 16:00:00,17.08
11/15/2021 16:00:00,17.35
11/16/2021 16:00:00,17.5
11/17/2021 16:00:00,17.5
11/18/2021 16:00:00,17.59
11/19/2021 16:00:00,17.69
11/22/2021 16:00:00,18.06
11/23/2021 16:00:00,17.98
11/24/2021 16:00:00,17.86
11/25/2021 16:00:00,18.17
11/26/2021 16:00:00,17.82
