Date,Close
1/2/2018 16:00:00,19.57
1/3/2018 16:00:00,19.55
1/4/2018 16:00:00,19.55
1/5/2018 16:00:00,19.5
1/8/2018 16:00:00,19.54
1/9/2018 16:00:00,19.61
1/10/2018 16:00:00,19.54
1/11/2018 16:00:00,19.26
1/12/2018 16:00:00,19.25
1/15/2018 16:00:00,19.19
1/16/2018 16:00:00,19.19
1/17/2018 16:00:00,19.18
1/18/2018 16:00:00,19.27
1/19/2018 16:00:00,19.11
1/22/2018 16:00:00,19.17
1/23/2018 16:00:00,19.31
1/24/2018 16:00:00,19.38
1/25/2018 16:00:00,19.28
1/29/2018 16:00:00,19.3
1/30/2018 16:00:00,19.06
1/31/2018 16:00:00,19.14
2/1/2018 16:00:00,19.27
2/2/2018 16:00:00,19.08
2/5/2018 16:00:00,18.75
2/6/2018 16:00:00,17.69
2/7/2018 16:00:00,18.3
2/8/2018 16:00:00,18.23
2/9/2018 16:00:00,18.11
2/12/2018 16:00:00,18.22
2/13/2018 16:00:00,18.21
2/14/2018 16:00:00,18.27
2/15/2018 16:00:00,18.35
2/16/2018 16:00:00,18.58
2/19/2018 16:00:00,18.74
2/20/2018 16:00:00,18.71
2/21/2018 16:00:00,18.51
2/22/2018 16:00:00,18.25
2/23/2018 16:00:00,18.4
2/26/2018 16:00:00,18.69
2/27/2018 16:00:00,18.74
2/28/2018 16:00:00,18.45
3/1/2018 16:00:00,18.25
3/2/2018 16:00:00,18.2
3/5/2018 16:00:00,18.05
3/6/2018 16:00:00,18.29
3/7/2018 16:00:00,18.13
3/8/2018 16:00:00,18.26
3/9/2018 16:00:00,18.4
3/12/2018 16:00:00,18.57
3/13/2018 16:00:00,18.59
3/14/2018 16:00:00,18.62
3/15/2018 16:00:00,18.67
3/16/2018 16:00:00,18.56
3/19/2018 16:00:00,18.54
3/20/2018 16:00:00,18.54
3/21/2018 16:00:00,18.51
3/22/2018 16:00:00,18.42
3/23/2018 16:00:00,18.19
3/26/2018 16:00:00,18.16
3/27/2018 16:00:00,18.33
3/28/2018 16:00:00,18.41
3/29/2018 16:00:00,18.39
4/3/2018 16:00:00,18.17
4/4/2018 16:00:00,18.18
4/5/2018 16:00:00,18.42
4/6/2018 16:00:00,18.34
4/9/2018 16:00:00,18.44
4/10/2018 16:00:00,18.63
4/11/2018 16:00:00,18.24
4/12/2018 16:00:00,18.35
4/13/2018 16:00:00,18.18
4/16/2018 16:00:00,18.4
4/17/2018 16:00:00,18.55
4/18/2018 16:00:00,18.66
4/19/2018 16:00:00,18.71
