Date,CHC
9/06/2018 16:00,7.16
9/07/2018 16:00,7.16
9/10/2018 16:00,7.14
9/11/2018 16:00,7.17
9/12/2018 16:00,7.17
9/13/2018 16:00:00,7.18
9/14/2018 16:00:00,7.17
9/17/2018 16:00:00,7.23
9/18/2018 16:00:00,7.27
9/19/2018 16:00:00,7.17
9/20/2018 16:00:00,7.07
9/21/2018 16:00:00,7.07
9/24/2018 16:00:00,7.06
9/25/2018 16:00:00,7.16
9/26/2018 16:00:00,7.21
9/27/2018 16:00:00,7.21
9/28/2018 16:00:00,7.16
10/01/2018 16:00,7.11
10/02/2018 16:00,7.06
10/03/2018 16:00,7.08
10/04/2018 16:00,7.05
10/05/2018 16:00,6.98
10/08/2018 16:00,6.99
10/09/2018 16:00,6.92
10/10/2018 16:00,6.95
10/11/2018 16:00,6.88
10/12/2018 16:00,6.84
10/15/2018 16:00:00,6.74
10/16/2018 16:00:00,6.7
10/17/2018 16:00:00,6.87
10/18/2018 16:00:00,6.96
10/19/2018 16:00:00,7.03
10/22/2018 16:00:00,7.11
10/23/2018 16:00:00,7.06
10/24/2018 16:00:00,7.04
10/25/2018 16:00:00,6.92
10/26/2018 16:00:00,6.88
10/29/2018 16:00:00,6.87
10/30/2018 16:00:00,6.91
10/31/2018 16:00:00,6.9
11/01/2018 16:00,6.79
11/02/2018 16:00,6.78
11/05/2018 16:00,6.66
11/06/2018 16:00,6.76
11/07/2018 16:00,6.89
11/08/2018 16:00,6.97
11/09/2018 16:00,7.09
11/12/2018 16:00,7.12
11/13/2018 16:00:00,7.06
11/14/2018 16:00:00,6.93
11/15/2018 16:00:00,6.83
11/16/2018 16:00:00,6.81
11/19/2018 16:00:00,6.81
11/20/2018 16:00:00,6.8
11/21/2018 16:00:00,6.87
11/22/2018 16:00:00,7
11/23/2018 16:00:00,6.96
11/26/2018 16:00:00,7.02
11/27/2018 16:00:00,7.03
11/28/2018 16:00:00,7.08
11/29/2018 16:00:00,7.11
11/30/2018 16:00:00,6.99
12/03/2018 16:00,7.09
12/04/2018 16:00,7
12/05/2018 16:00,6.97
12/06/2018 16:00,7.25
12/07/2018 16:00,7.35
12/10/2018 16:00,7.33
12/11/2018 16:00,7.46
12/12/2018 16:00,7.59
12/13/2018 16:00:00,7.47
12/14/2018 16:00:00,7.53
12/17/2018 16:00:00,7.55
12/18/2018 16:00:00,7.51
12/19/2018 16:00:00,7.48
12/20/2018 16:00:00,7.63
12/21/2018 16:00:00,7.55
12/24/2018 14:10:00,7.53
12/27/2018 16:00:00,7.61
12/28/2018 16:00:00,7.5
12/31/2018 14:10:00,7.42
1/02/2019 16:00,7.35
1/03/2019 16:00,7.37
1/04/2019 16:00,7.34
1/07/2019 16:00,7.41
1/08/2019 16:00,7.32
1/09/2019 16:00,7.39
1/10/2019 16:00,7.45
1/11/2019 16:00,7.5
1/14/2019 16:00:00,7.5
1/15/2019 16:00:00,7.51
1/16/2019 16:00:00,7.54
1/17/2019 16:00:00,7.47
1/18/2019 16:00:00,7.51
1/21/2019 16:00:00,7.59
1/22/2019 16:00:00,7.66
1/23/2019 16:00:00,7.8
1/24/2019 16:00:00,7.96
1/25/2019 16:00:00,8.04
1/29/2019 16:00:00,8.12
1/30/2019 16:00:00,8.19
1/31/2019 16:00:00,8.23
2/01/2019 16:00,8.23
2/04/2019 16:00,8.35
2/05/2019 16:00,8.35
2/06/2019 16:00,8.5
2/07/2019 16:00,8.59
2/08/2019 16:00,8.69
2/11/2019 16:00,8.63
2/12/2019 16:00,8.5
2/13/2019 16:00:00,8.45
2/14/2019 16:00:00,8.48
2/15/2019 16:00:00,8.59
2/18/2019 16:00:00,8.67
2/19/2019 16:00:00,8.81
2/20/2019 16:00:00,8.76
2/21/2019 16:00:00,8.76
2/22/2019 16:00:00,8.87
2/25/2019 16:00:00,8.9
2/26/2019 16:00:00,8.71
2/27/2019 16:00:00,8.71
2/28/2019 16:00:00,8.8
3/01/2019 16:00,8.94
3/04/2019 16:00,9.01
3/05/2019 16:00,9.18
3/06/2019 16:00,9.35
3/07/2019 16:00,9.32
3/08/2019 16:00,9.31
3/11/2019 16:00,9.31
3/12/2019 16:00,9.35
3/13/2019 16:00:00,9.38
3/14/2019 16:00:00,9.4
3/15/2019 16:00:00,9.58
3/18/2019 16:00:00,9.52
3/19/2019 16:00:00,9.6
3/20/2019 16:00:00,9.74
3/21/2019 16:00:00,9.83
3/22/2019 16:00:00,9.76
3/25/2019 16:00:00,9.8
3/26/2019 16:00:00,9.94
3/27/2019 16:00:00,10.16
3/28/2019 16:00:00,10.28
3/29/2019 16:00:00,10.27
4/01/2019 16:00,10.14
4/02/2019 16:00,10.07
4/03/2019 16:00,10.01
4/04/2019 16:00,9.85
4/05/2019 16:00,9.87
4/08/2019 16:00,10
4/09/2019 16:00,9.97
4/10/2019 16:00,10.04
4/11/2019 16:00,10.12
4/12/2019 16:00,10.17
4/15/2019 16:00:00,10.13
4/16/2019 16:00:00,9.87
4/17/2019 16:00:00,9.76
4/18/2019 16:00:00,9.75
4/23/2019 16:00:00,9.88
4/24/2019 16:00:00,10.02
4/26/2019 16:00:00,10.16
4/29/2019 16:00:00,10.03
4/30/2019 16:00:00,9.81
5/01/2019 16:00,9.91
5/02/2019 16:00,9.83
5/03/2019 16:00,9.85
5/06/2019 16:00,9.89
5/07/2019 16:00,10.04
5/08/2019 16:00,10.04
5/09/2019 16:00,10.08
5/10/2019 16:00,10.16
5/13/2019 16:00:00,10.27
5/14/2019 16:00:00,10.35
5/15/2019 16:00:00,10.28
5/16/2019 16:00:00,10.36
5/17/2019 16:00:00,10.5
5/20/2019 16:00:00,10.4
5/21/2019 16:00:00,10.65
5/22/2019 16:00:00,10.53
5/23/2019 16:00:00,10.67
5/24/2019 16:00:00,10.61
5/27/2019 16:00:00,10.57
5/28/2019 16:00:00,10.62
