Date,APA
9/12/2018 16:00,9.9
9/13/2018 16:00:00,9.67
9/14/2018 16:00:00,9.65
9/17/2018 16:00:00,9.82
9/18/2018 16:00:00,9.86
9/19/2018 16:00:00,9.89
9/20/2018 16:00:00,9.82
9/21/2018 16:00:00,9.8
9/24/2018 16:00:00,9.86
9/25/2018 16:00:00,9.9
9/26/2018 16:00:00,10
9/27/2018 16:00:00,9.9
9/28/2018 16:00:00,9.98
10/01/2018 16:00,9.93
10/02/2018 16:00,9.86
10/03/2018 16:00,10
10/04/2018 16:00,10.03
10/05/2018 16:00,10.07
10/08/2018 16:00,9.91
10/09/2018 16:00,10
10/10/2018 16:00,9.86
10/11/2018 16:00,9.81
10/12/2018 16:00,9.75
10/15/2018 16:00:00,9.73
10/16/2018 16:00:00,9.79
10/17/2018 16:00:00,9.84
10/18/2018 16:00:00,9.8
10/19/2018 16:00:00,9.8
10/22/2018 16:00:00,9.74
10/23/2018 16:00:00,9.62
10/24/2018 16:00:00,9.67
10/25/2018 16:00:00,9.48
10/26/2018 16:00:00,9.48
10/29/2018 16:00:00,9.57
10/30/2018 16:00:00,9.43
10/31/2018 16:00:00,9.6
11/01/2018 16:00,9.65
11/02/2018 16:00,9.74
11/05/2018 16:00,9.66
11/06/2018 16:00,9.52
11/07/2018 16:00,9.51
11/08/2018 16:00,8.57
11/09/2018 16:00,8.88
11/12/2018 16:00,9.15
11/13/2018 16:00:00,9.2
11/14/2018 16:00:00,9.16
11/15/2018 16:00:00,9.07
11/16/2018 16:00:00,8.96
11/19/2018 16:00:00,8.93
11/20/2018 16:00:00,8.73
11/21/2018 16:00:00,8.61
11/22/2018 16:00:00,8.79
11/23/2018 16:00:00,8.98
11/26/2018 16:00:00,9.05
11/27/2018 16:00:00,9.08
11/28/2018 16:00:00,9.15
11/29/2018 16:00:00,9.17
11/30/2018 16:00:00,8.8
12/03/2018 16:00,8.91
12/04/2018 16:00,8.7
12/05/2018 16:00,9
12/06/2018 16:00,9
12/07/2018 16:00,9.12
12/10/2018 16:00,8.8
12/11/2018 16:00,8.81
12/12/2018 16:00,8.91
12/13/2018 16:00:00,8.79
12/14/2018 16:00:00,8.67
12/17/2018 16:00:00,8.81
12/18/2018 16:00:00,8.66
12/19/2018 16:00:00,8.57
12/20/2018 16:00:00,8.56
12/21/2018 16:00:00,8.57
12/24/2018 14:10:00,8.56
12/27/2018 16:00:00,8.72
12/28/2018 16:00:00,8.5
12/31/2018 14:10:00,8.5
1/02/2019 16:00,8.53
1/03/2019 16:00,8.66
1/04/2019 16:00,8.93
1/07/2019 16:00,8.93
1/08/2019 16:00,9
1/09/2019 16:00,8.97
1/10/2019 16:00,9.07
1/11/2019 16:00,9.12
1/14/2019 16:00:00,9.09
1/15/2019 16:00:00,9.05
1/16/2019 16:00:00,9.01
1/17/2019 16:00:00,8.95
1/18/2019 16:00:00,8.95
1/21/2019 16:00:00,8.89
1/22/2019 16:00:00,8.93
1/23/2019 16:00:00,8.95
1/24/2019 16:00:00,8.94
1/25/2019 16:00:00,9.13
1/29/2019 16:00:00,9.22
1/30/2019 16:00:00,9.15
1/31/2019 16:00:00,9.18
2/01/2019 16:00,9.28
2/04/2019 16:00,9.44
2/05/2019 16:00,9.5
2/06/2019 16:00,9.24
2/07/2019 16:00,9.41
2/08/2019 16:00,9.29
2/11/2019 16:00,9.41
2/12/2019 16:00,9.47
2/13/2019 16:00:00,9.49
2/14/2019 16:00:00,9.25
2/15/2019 16:00:00,9.22
2/18/2019 16:00:00,9.28
2/19/2019 16:00:00,9.4
2/20/2019 16:00:00,9.38
2/21/2019 16:00:00,9.69
2/22/2019 16:00:00,9.81
2/25/2019 16:00:00,9.8
2/26/2019 16:00:00,9.8
2/27/2019 16:00:00,9.89
2/28/2019 16:00:00,10.01
3/01/2019 16:00,9.95
3/04/2019 16:00,9.89
3/05/2019 16:00,9.84
3/06/2019 16:00,9.78
3/07/2019 16:00,9.86
3/08/2019 16:00,9.75
3/11/2019 16:00,9.72
3/12/2019 16:00,9.77
3/13/2019 16:00:00,9.77
3/14/2019 16:00:00,9.81
3/15/2019 16:00:00,9.87
3/18/2019 16:00:00,9.84
3/19/2019 16:00:00,9.88
3/20/2019 16:00:00,9.96
3/21/2019 16:00:00,9.99
3/22/2019 16:00:00,10.06
3/25/2019 16:00:00,10.07
3/26/2019 16:00:00,10.28
3/27/2019 16:00:00,10.08
3/28/2019 16:00:00,10.07
3/29/2019 16:00:00,9.98
4/01/2019 16:00,9.9
4/02/2019 16:00,9.9
4/03/2019 16:00,9.9
4/04/2019 16:00,9.7
4/05/2019 16:00,9.65
4/08/2019 16:00,9.69
4/09/2019 16:00,9.65
4/10/2019 16:00,9.65
4/11/2019 16:00,9.6
4/12/2019 16:00,9.62
4/15/2019 16:00:00,9.55
4/16/2019 16:00:00,9.52
4/17/2019 16:00:00,9.49
4/18/2019 16:00:00,9.51
4/23/2019 16:00:00,9.67
4/24/2019 16:00:00,9.81
4/26/2019 16:00:00,9.94
4/29/2019 16:00:00,9.81
4/30/2019 16:00:00,9.62
5/01/2019 16:00,9.73
5/02/2019 16:00,9.79
5/03/2019 16:00,9.76
5/06/2019 16:00,9.75
5/07/2019 16:00,9.77
5/08/2019 16:00,9.75
5/09/2019 16:00,10.04
5/10/2019 16:00,10.21
5/13/2019 16:00:00,10.19
5/14/2019 16:00:00,10.15
5/15/2019 16:00:00,10.18
5/16/2019 16:00:00,10.35
5/17/2019 16:00:00,10.4
5/20/2019 16:00:00,10.4
5/21/2019 16:00:00,10.31
5/22/2019 16:00:00,10.24
5/23/2019 16:00:00,10.29
5/24/2019 16:00:00,10.2
5/27/2019 16:00:00,10.2
5/28/2019 16:00:00,10.18
5/29/2019 16:00:00,10.14
5/30/2019 16:00:00,10.13
5/31/2019 16:00:00,10.14
6/03/2019 16:00,10.24
6/04/2019 16:00,10.25
6/05/2019 16:00,10.3
6/06/2019 16:00,10.61
6/07/2019 16:00,10.8
6/11/2019 16:00,10.94
6/12/2019 16:00,10.93
6/13/2019 16:00:00,11.13
6/14/2019 16:00:00,11.17
6/17/2019 16:00:00,11.27
6/18/2019 16:00:00,11.34
6/19/2019 16:00:00,11.46
6/20/2019 16:00:00,11.7
6/21/2019 16:00:00,11.51
6/24/2019 16:00:00,11.55
6/25/2019 16:00:00,11.47
6/26/2019 16:00:00,11.32
6/27/2019 16:00:00,10.95
6/28/2019 16:00:00,10.8
7/01/2019 16:00,10.94
7/02/2019 16:00,10.93
7/03/2019 16:00,11.18
7/04/2019 16:00,11.31
7/05/2019 16:00,11.19
7/08/2019 16:00,10.97
7/09/2019 16:00,10.95
7/10/2019 16:00,11.02
7/11/2019 16:00,11.01
7/12/2019 16:00,10.93
7/15/2019 16:00:00,10.8
7/16/2019 16:00:00,10.82
7/17/2019 16:00:00,10.89
7/18/2019 16:00:00,10.83
7/19/2019 16:00:00,11
7/22/2019 16:00:00,10.85
7/23/2019 16:00:00,11
7/24/2019 16:00:00,11.07
7/25/2019 16:00:00,11.12
7/26/2019 16:00:00,11
7/29/2019 16:00:00,11.02
7/30/2019 16:00:00,11.15
7/31/2019 16:00:00,11.04
8/01/2019 16:00,11.13
8/02/2019 16:00,11.17
8/05/2019 16:00,10.98
8/06/2019 16:00,10.71
8/07/2019 16:00,10.86
8/08/2019 16:00,10.92
8/09/2019 16:00,10.79
8/12/2019 16:00,10.73
8/13/2019 16:00:00,10.71
8/14/2019 16:00:00,10.76
8/15/2019 16:00:00,10.47
8/16/2019 16:00:00,10.49
8/19/2019 16:00:00,10.53
8/20/2019 16:00:00,10.84
8/21/2019 16:00:00,11.16
8/22/2019 16:00:00,10.9
8/23/2019 16:00:00,10.89
8/26/2019 16:00:00,10.81
8/27/2019 16:00:00,11.01
8/28/2019 16:00:00,10.93
8/29/2019 16:00:00,10.93
8/30/2019 16:00:00,11.01
9/02/2019 16:00,10.95
9/03/2019 16:00,10.95
9/04/2019 16:00,10.85
9/05/2019 16:00,10.83
9/06/2019 16:00,10.92
9/09/2019 16:00,11.13
9/10/2019 16:00,11.06
9/11/2019 16:00,11.02
9/12/2019 16:00,11.11
9/13/2019 16:00:00,11.2
9/16/2019 16:00:00,11.1
9/17/2019 16:00:00,11.36
9/18/2019 16:00:00,11.36
9/19/2019 16:00:00,11.59
9/20/2019 16:00:00,11.58
