Date,ACDC
5/16/2019 16:00:00,47.69
5/17/2019 16:00:00,48.29
5/20/2019 16:00:00,47.43
5/21/2019 16:00:00,47.04
5/22/2019 16:00:00,47.38
5/23/2019 16:00:00,46.67
5/24/2019 16:00:00,46.26
5/27/2019 16:00:00,45.89
5/28/2019 16:00:00,46.4
5/29/2019 16:00:00,45.98
5/30/2019 16:00:00,45.99
5/31/2019 16:00:00,45.84
6/03/2019 16:00,45.51
6/04/2019 16:00,45.66
6/05/2019 16:00,46.78
6/06/2019 16:00,46.5
6/07/2019 16:00,46.78
6/11/2019 16:00,47.63
6/12/2019 16:00,47.95
6/13/2019 16:00:00,47.81
6/14/2019 16:00:00,47.89
6/17/2019 16:00:00,47.57
6/18/2019 16:00:00,48
6/19/2019 16:00:00,48.3
6/20/2019 16:00:00,48.62
6/21/2019 16:00:00,48.11
6/24/2019 16:00:00,48.41
6/26/2019 16:00:00,47.52
6/27/2019 16:00:00,47.89
6/28/2019 16:00:00,46.78
7/01/2019 16:00,47.55
7/02/2019 16:00,47.9
7/03/2019 16:00,47.37
7/04/2019 16:00,47.45
7/05/2019 16:00,47.57
7/08/2019 16:00,47.4
7/09/2019 16:00,46.85
7/10/2019 16:00,46.91
7/11/2019 16:00,46.98
7/12/2019 16:00,46.88
7/15/2019 16:00:00,46.8
7/16/2019 16:00:00,46.85
7/17/2019 16:00:00,46.92
7/18/2019 16:00:00,46
7/19/2019 16:00:00,46.22
7/24/2019 16:00:00,47.66
7/25/2019 16:00:00,47.7
7/29/2019 16:00:00,47.31
7/30/2019 16:00:00,47.33
7/31/2019 16:00:00,47.97
8/01/2019 16:00,47.75
8/02/2019 16:00,47.03
8/05/2019 16:00,46.58
8/06/2019 16:00,45.6
8/07/2019 16:00,45.44
8/08/2019 16:00,45.76
8/09/2019 16:00,45.97
8/13/2019 16:00:00,45.17
8/14/2019 16:00:00,45.5
8/15/2019 16:00:00,44.44
8/16/2019 16:00:00,44.33
8/19/2019 16:00:00,44.89
8/21/2019 16:00:00,45.1
8/22/2019 16:00:00,44.89
8/23/2019 16:00:00,44.84
8/26/2019 16:00:00,44.12
8/27/2019 16:00:00,44.27
8/28/2019 16:00:00,44.27
8/29/2019 16:00:00,44.2
8/30/2019 16:00:00,44.94
9/02/2019 16:00,45.23
9/03/2019 16:00,45.42
9/04/2019 16:00,44.7
9/09/2019 16:00,45.86
9/10/2019 16:00,46.21
9/11/2019 16:00,46.75
9/12/2019 16:00,47.26
9/13/2019 16:00:00,47.33
9/16/2019 16:00:00,47.44
9/17/2019 16:00:00,47.54
9/18/2019 16:00:00,47.44
9/19/2019 16:00:00,47.63
9/23/2019 16:00:00,47.91
9/24/2019 16:00:00,47.74
9/25/2019 16:00:00,46.93
9/26/2019 16:00:00,47.22
9/27/2019 16:00:00,47.19
9/30/2019 16:00:00,46.9
10/01/2019 16:00,47.72
10/02/2019 16:00,47.3
10/03/2019 16:00,46.37
10/07/2019 16:00,46.5
10/09/2019 16:00,46.5
10/11/2019 16:00,46.65
10/14/2019 16:00:00,47.35
10/15/2019 16:00:00,47.22
10/16/2019 16:00:00,47.86
10/17/2019 16:00:00,47.73
10/18/2019 16:00:00,47.29
10/21/2019 16:00:00,47.27
10/22/2019 16:00:00,47.39
10/25/2019 16:00:00,48.28
10/28/2019 16:00:00,48.75
10/29/2019 16:00:00,48.81
10/30/2019 16:00:00,48.72
10/31/2019 16:00:00,48.42
11/04/2019 16:00,49.35
11/05/2019 16:00,50.05
11/06/2019 16:00,50
11/08/2019 16:00,50.75
11/11/2019 16:00,50.82
11/12/2019 16:00,51.01
11/13/2019 16:00:00,50.68
11/14/2019 16:00:00,50.75
11/15/2019 16:00:00,51.03
11/18/2019 16:00:00,50.82
11/19/2019 16:00:00,50.75
