Date,Close
12/10/2019 16:00:00,25.27
12/12/2019 16:00:00,25.25
12/13/2019 16:00:00,25.25
12/16/2019 16:00:00,25.42
12/17/2019 16:00:00,25.57
12/18/2019 16:00:00,25.62
12/19/2019 16:00:00,25.49
12/20/2019 16:00:00,25.49
12/23/2019 16:00:00,25.49
12/24/2019 14:10:00,25.42
12/30/2019 16:00:00,25.35
12/31/2019 14:10:00,25.26
1/2/2020 16:00:00,25.26
1/3/2020 16:00:00,25.37
1/6/2020 16:00:00,25.35
1/8/2020 16:00:00,25.53
1/14/2020 16:00:00,25.89
1/15/2020 16:00:00,25.9
1/16/2020 16:00:00,26.01
1/17/2020 16:00:00,26.14
1/20/2020 16:00:00,26.18
1/21/2020 16:00:00,26.12
1/22/2020 16:00:00,26.17
1/24/2020 16:00:00,26.25
1/28/2020 16:00:00,26.11
1/29/2020 16:00:00,26.1
1/30/2020 16:00:00,26.15
2/3/2020 16:00:00,25.99
2/4/2020 16:00:00,26.05
2/7/2020 16:00:00,26.3
2/10/2020 16:00:00,26.27
2/13/2020 16:00:00,26.5
2/14/2020 16:00:00,26.53
2/17/2020 16:00:00,26.53
2/21/2020 16:00:00,26.7
2/24/2020 16:00:00,26.5
2/25/2020 16:00:00,25.93
2/26/2020 16:00:00,25.68
2/28/2020 16:00:00,24.99
3/2/2020 16:00:00,24.99
3/3/2020 16:00:00,25.33
3/4/2020 16:00:00,24.91
3/5/2020 16:00:00,25.2
3/6/2020 16:00:00,24.87
3/9/2020 16:00:00,24.11
3/10/2020 16:00:00,23.75
3/11/2020 16:00:00,23.77
3/13/2020 16:00:00,21.37
3/23/2020 16:00:00,19.94
3/24/2020 16:00:00,20.56
3/30/2020 16:00:00,21.62
4/1/2020 16:00:00,22.2
4/2/2020 16:00:00,22.2
4/8/2020 16:00:00,22.2
4/15/2020 16:00:00,22.4
4/20/2020 16:00:00,22.67
4/22/2020 16:00:00,22.2
4/24/2020 16:00:00,22.24
4/27/2020 16:00:00,22.51
4/29/2020 16:00:00,22.67
5/1/2020 16:00:00,22.57
5/4/2020 16:00:00,22.43
5/7/2020 16:00:00,22.55
5/8/2020 16:00:00,22.85
5/13/2020 16:00:00,22.57
5/18/2020 16:00:00,22.8
5/20/2020 16:00:00,23
5/27/2020 16:00:00,23.42
6/10/2020 16:00:00,24.41
6/11/2020 16:00:00,24.04
6/15/2020 16:00:00,23.54
6/16/2020 16:00:00,23.5
6/17/2020 16:00:00,24
6/23/2020 16:00:00,24.01
6/25/2020 16:00:00,23.58
7/2/2020 16:00:00,23.8
7/10/2020 16:00:00,23.85
7/14/2020 16:00:00,23.86
7/16/2020 16:00:00,24.13
7/22/2020 16:00:00,24.2
7/27/2020 16:00:00,24.2
7/29/2020 16:00:00,23.92
8/4/2020 16:00:00,24.14
8/5/2020 16:00:00,24.08
8/7/2020 16:00:00,24.09
8/10/2020 16:00:00,24.29
8/11/2020 16:00:00,24.29
8/14/2020 16:00:00,24.45
8/17/2020 16:00:00,24.29
8/21/2020 16:00:00,24.4
8/25/2020 16:00:00,24.6
8/26/2020 16:00:00,24.53
9/1/2020 16:00:00,24.18
9/3/2020 16:00:00,24.61
9/7/2020 16:00:00,24.08
9/8/2020 16:00:00,24.25
9/10/2020 16:00:00,24.23
9/14/2020 16:00:00,24.13
9/16/2020 16:00:00,24.24
9/17/2020 16:00:00,24.2
9/18/2020 16:00:00,24.15
9/25/2020 16:00:00,24.22
9/28/2020 16:00:00,24.3
10/1/2020 16:00:00,24.14
10/7/2020 16:00:00,24.42
10/15/2020 16:00:00,25.02
10/16/2020 16:00:00,25.02
10/19/2020 16:00:00,25.02
10/20/2020 16:00:00,24.9
10/23/2020 16:00:00,24.73
10/26/2020 16:00:00,24.74
10/30/2020 16:00:00,24.27
