Date,Close
1/2/2018 16:00:00,3.66
1/3/2018 16:00:00,3.66
1/4/2018 16:00:00,3.68
1/5/2018 16:00:00,3.73
1/8/2018 16:00:00,3.75
1/9/2018 16:00:00,3.75
1/10/2018 16:00:00,3.71
1/11/2018 16:00:00,3.71
1/12/2018 16:00:00,3.74
1/15/2018 16:00:00,3.71
1/16/2018 16:00:00,3.65
1/17/2018 16:00:00,3.6
1/18/2018 16:00:00,3.62
1/19/2018 16:00:00,3.57
1/22/2018 16:00:00,3.57
1/23/2018 16:00:00,3.57
1/24/2018 16:00:00,3.57
1/25/2018 16:00:00,3.56
1/29/2018 16:00:00,3.62
1/30/2018 16:00:00,3.6
1/31/2018 16:00:00,3.67
2/1/2018 16:00:00,3.64
2/2/2018 16:00:00,3.67
2/5/2018 16:00:00,3.62
2/6/2018 16:00:00,3.51
2/7/2018 16:00:00,3.5
2/8/2018 16:00:00,3.56
2/9/2018 16:00:00,3.49
2/12/2018 16:00:00,3.45
2/13/2018 16:00:00,3.48
2/14/2018 16:00:00,3.43
2/15/2018 16:00:00,3.45
2/16/2018 16:00:00,3.43
2/19/2018 16:00:00,3.44
2/20/2018 16:00:00,3.44
2/21/2018 16:00:00,3.43
2/22/2018 16:00:00,3.43
2/23/2018 16:00:00,3.48
2/26/2018 16:00:00,3.52
2/27/2018 16:00:00,3.49
2/28/2018 16:00:00,3.35
3/1/2018 16:00:00,3.32
3/2/2018 16:00:00,3.27
3/5/2018 16:00:00,3.3
3/6/2018 16:00:00,3.37
3/7/2018 16:00:00,3.35
3/8/2018 16:00:00,3.39
3/9/2018 16:00:00,3.44
3/12/2018 16:00:00,3.44
3/13/2018 16:00:00,3.41
3/14/2018 16:00:00,3.32
3/15/2018 16:00:00,3.3
3/16/2018 16:00:00,3.35
3/19/2018 16:00:00,3.35
3/20/2018 16:00:00,3.37
3/21/2018 16:00:00,3.33
3/22/2018 16:00:00,3.27
3/23/2018 16:00:00,3.22
3/26/2018 16:00:00,3.2
3/27/2018 16:00:00,3.21
3/28/2018 16:00:00,3.18
3/29/2018 16:00:00,3.14
4/3/2018 16:00:00,3.15
4/4/2018 16:00:00,3.13
4/5/2018 16:00:00,3.11
4/6/2018 16:00:00,3.1
4/9/2018 16:00:00,3.11
4/10/2018 16:00:00,3.15
4/11/2018 16:00:00,3.1
4/12/2018 16:00:00,3.09
4/13/2018 16:00:00,3.1
4/16/2018 16:00:00,3.12
4/17/2018 16:00:00,3.15
4/18/2018 16:00:00,3.12
4/19/2018 16:00:00,3.11
4/20/2018 16:00:00,3.08
4/23/2018 16:00:00,3.09
4/24/2018 16:00:00,3.1
4/26/2018 16:00:00,3.11
4/27/2018 16:00:00,3.15
4/30/2018 16:00:00,3.18
5/1/2018 16:00:00,3.2
5/2/2018 16:00:00,3.19
5/3/2018 16:00:00,3.22
5/4/2018 16:00:00,3.24
5/7/2018 16:00:00,3.25
5/8/2018 16:00:00,3.22
5/9/2018 16:00:00,3.25
5/10/2018 16:00:00,3.17
5/11/2018 16:00:00,3.2
5/14/2018 16:00:00,3.04
5/15/2018 16:00:00,2.87
